site_name,year,month,NEE,GPP,Reco,ET,NEP,State,biome,salinity_ppt,salinity_fine,salini_coarse,WUE,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,climate_2,salinity_con
US-A10,2014,8,-13.23,68.847,53.334,18.339,15.514,AL,sparse_veg,32.0,high,high,3.754,0.225,4.718,3.754,109.834,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2014,9,-0.295,1.19,1.142,0.52,0.049,AL,sparse_veg,32.0,high,high,2.288,0.041,2.783,3.468,115.178,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2015,6,-11.337,51.325,29.762,33.434,21.564,AL,sparse_veg,32.0,high,high,1.535,0.42,8.565,4.86,251.502,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2015,7,-95.057,137.855,50.591,37.409,87.264,AL,sparse_veg,32.0,high,high,3.685,0.633,4.498,3.785,193.779,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2015,8,-30.242,69.689,51.31,25.85,18.379,AL,sparse_veg,32.0,high,high,2.696,0.264,4.166,3.773,107.455,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2015,9,0.329,0.337,0.968,0.399,-0.631,AL,sparse_veg,32.0,high,high,0.845,-1.873,2.635,3.21,51.166,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2016,6,15.876,22.227,30.857,30.272,-8.63,AL,sparse_veg,32.0,high,high,0.734,-0.388,5.307,3.403,242.241,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2016,7,-64.477,113.136,52.674,36.149,60.462,AL,sparse_veg,32.0,high,high,3.13,0.534,7.363,4.275,212.675,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2016,8,-31.785,70.522,40.662,24.682,29.859,AL,sparse_veg,32.0,high,high,2.857,0.423,5.728,3.678,112.936,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2017,6,-68.962,80.165,9.401,34.702,70.764,AL,sparse_veg,32.0,high,high,2.31,0.883,5.054,2.563,273.787,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2017,7,-82.334,111.611,22.866,35.238,88.745,AL,sparse_veg,32.0,high,high,3.167,0.795,8.299,4.347,170.836,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2017,8,-44.939,84.333,44.94,26.051,39.393,AL,sparse_veg,32.0,high,high,3.237,0.467,5.785,3.471,82.054,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2017,9,-1.162,1.825,0.939,0.71,0.886,AL,sparse_veg,32.0,high,high,2.569,0.486,3.468,3.387,71.007,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2018,6,3.698,7.226,9.816,13.502,-2.591,AL,sparse_veg,32.0,high,high,0.535,-0.359,2.144,2.018,287.466,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2018,7,-20.659,61.181,39.49,37.964,21.691,AL,sparse_veg,32.0,high,high,1.612,0.355,7.571,5.571,173.178,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2018,8,-29.13,79.952,52.263,19.87,27.688,AL,sparse_veg,32.0,high,high,4.024,0.346,2.537,4.382,93.076,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2018,9,-0.329,1.484,1.432,0.619,0.052,AL,sparse_veg,32.0,high,high,2.396,0.035,0.57,3.559,91.259,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2019,6,-6.01,24.345,20.586,19.712,3.758,AL,sparse_veg,32.0,high,high,1.235,0.154,3.814,4.642,241.619,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2019,7,-79.28,127.488,52.337,37.969,75.151,AL,sparse_veg,32.0,high,high,3.358,0.589,8.316,6.403,167.335,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2019,8,-45.708,83.865,49.324,23.326,34.541,AL,sparse_veg,32.0,high,high,3.595,0.412,5.311,5.05,85.414,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2019,9,-2.379,1.408,0.98,0.845,0.428,AL,sparse_veg,32.0,high,high,1.666,0.304,4.803,4.489,71.213,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2020,6,-3.182,24.808,22.357,25.423,2.451,AL,sparse_veg,32.0,high,high,0.976,0.099,4.039,4.657,267.858,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2020,7,-43.212,89.521,44.65,31.673,44.872,AL,sparse_veg,32.0,high,high,2.826,0.501,4.044,4.098,195.035,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-A10,2020,8,-32.676,83.765,48.528,16.666,35.237,AL,sparse_veg,32.0,high,high,5.026,0.421,5.737,4.987,106.848,57.267,161.511,244.785,71.324,-156.615,Barren Sparse Vegetation,Barren Sparse Vegetation,no
US-Atq,2003,5,3.075,6.473,21.676,14.324,-15.203,AL,wetland,1.0,very low,low,0.452,-2.349,-4.487,0.591,199.2,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2003,6,34.731,5.153,48.866,81.251,-43.713,AL,wetland,1.0,very low,low,0.063,-8.483,4.691,2.19,275.479,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2003,7,6.309,8.463,12.273,42.908,-3.81,AL,wetland,1.0,very low,low,0.197,-0.45,7.94,2.609,148.827,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2003,8,11.476,6.813,16.954,28.543,-10.141,AL,wetland,1.0,very low,low,0.239,-1.489,4.125,1.189,100.63,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2004,7,-9.003,21.417,19.696,41.316,1.721,AL,wetland,1.0,very low,low,0.518,0.08,10.35,2.96,171.143,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2004,8,11.907,9.162,12.997,21.263,-3.835,AL,wetland,1.0,very low,low,0.431,-0.419,10.954,2.244,127.568,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2005,5,2.058,6.488,13.416,4.423,-6.928,AL,wetland,1.0,very low,low,1.467,-1.068,-4.714,0.383,176.485,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2005,6,31.507,31.343,57.652,54.089,-26.309,AL,wetland,1.0,very low,low,0.579,-0.839,3.425,1.665,222.079,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2005,7,15.463,45.136,44.154,58.377,0.981,AL,wetland,1.0,very low,low,0.773,0.022,7.465,3.086,219.34,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2005,8,2.725,31.12,30.62,18.102,0.501,AL,wetland,1.0,very low,low,1.719,0.016,10.489,2.765,146.2,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2006,5,7.229,2.661,13.673,15.615,-11.012,AL,wetland,1.0,very low,low,0.17,-4.139,-2.547,0.701,190.997,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2006,6,-2.528,11.665,14.484,43.855,-2.819,AL,wetland,1.0,very low,low,0.266,-0.242,5.833,2.201,198.203,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2006,7,-9.882,45.266,27.733,48.929,17.534,AL,wetland,1.0,very low,low,0.925,0.387,8.156,2.308,163.447,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Atq,2006,8,-11.402,22.503,10.813,20.021,11.69,AL,wetland,1.0,very low,low,1.124,0.519,5.467,1.281,92.532,136.6,124.456,234.757,70.47,-157.409,Tundra,Tundra,no
US-Dmg,2021,9,-148.598,282.723,123.383,135.009,159.34,CA,wetlands,2.0,very low,low,2.094,0.564,20.689,10.834,267.016,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,4,-21.5,112.561,96.885,108.49,15.676,CA,wetlands,2.0,very low,low,1.038,0.139,15.265,8.83,294.479,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,5,-147.915,302.326,156.602,205.426,145.724,CA,wetlands,2.0,very low,low,1.472,0.482,18.242,10.971,351.988,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,6,-179.599,366.799,194.068,221.105,172.731,CA,wetlands,2.0,very low,low,1.659,0.471,21.949,13.364,355.397,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,7,-214.156,371.714,167.033,210.515,204.682,CA,wetlands,2.0,very low,low,1.766,0.551,21.098,10.072,353.597,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,8,-166.653,305.979,139.999,199.176,165.98,CA,wetlands,2.0,very low,low,1.536,0.542,21.976,10.476,322.551,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2022,9,-73.384,197.456,108.253,147.649,89.203,CA,wetlands,2.0,very low,low,1.337,0.452,22.062,12.493,251.144,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,4,6.18,77.272,87.669,95.188,-10.397,CA,wetlands,2.0,very low,low,0.812,-0.135,15.9,7.85,310.666,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,5,-71.286,187.113,114.419,132.894,72.694,CA,wetlands,2.0,very low,low,1.408,0.389,16.326,5.824,313.871,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,6,-163.658,302.118,144.746,173.707,157.372,CA,wetlands,2.0,very low,low,1.739,0.521,18.4,6.913,357.27,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,7,-191.171,357.504,171.845,212.304,185.659,CA,wetlands,2.0,very low,low,1.684,0.519,22.097,9.807,369.5,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,8,-184.527,349.016,170.518,188.697,178.498,CA,wetlands,2.0,very low,low,1.85,0.511,22.655,9.231,316.257,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2023,9,-154.513,269.454,105.293,143.683,164.161,CA,wetlands,2.0,very low,low,1.875,0.609,19.551,6.841,259.64,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,4,-13.232,95.83,80.709,88.066,15.121,CA,wetlands,2.0,very low,low,1.088,0.158,15.616,6.456,282.985,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,5,-102.811,251.594,160.147,166.291,91.447,CA,wetlands,2.0,very low,low,1.513,0.363,18.43,9.149,356.477,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,6,-168.202,329.45,168.926,209.617,160.524,CA,wetlands,2.0,very low,low,1.572,0.487,21.906,10.957,370.344,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,7,-189.397,348.625,163.284,217.846,185.342,CA,wetlands,2.0,very low,low,1.6,0.532,23.807,11.807,357.055,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,8,-158.902,284.898,127.557,178.945,157.341,CA,wetlands,2.0,very low,low,1.592,0.552,21.941,9.865,318.006,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-Dmg,2024,9,-79.369,163.208,68.929,105.719,94.28,CA,wetlands,2.0,very low,low,1.544,0.578,20.77,8.8,272.187,251.6,95.191,281.907,38.002,-121.669,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2018,4,-19.719,48.646,29.505,93.781,19.141,CA,wetlands,57.0,high,high,0.519,0.393,13.646,3.982,258.336,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2018,5,-39.395,80.612,43.959,113.047,36.653,CA,wetlands,57.0,high,high,0.713,0.455,14.773,3.727,282.825,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2018,6,-43.154,75.649,38.74,144.86,36.908,CA,wetlands,57.0,high,high,0.522,0.488,16.825,4.807,353.066,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2018,7,-62.021,84.476,43.152,136.745,41.324,CA,wetlands,57.0,high,high,0.618,0.489,17.396,3.772,330.159,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,4,-32.115,78.003,46.255,101.795,31.748,CA,wetlands,57.0,high,high,0.766,0.407,15.035,4.182,272.368,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,5,-70.232,116.05,47.72,131.751,68.33,CA,wetlands,57.0,high,high,0.881,0.589,14.712,3.466,278.452,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,6,-82.6,128.174,54.73,165.231,73.444,CA,wetlands,57.0,high,high,0.776,0.573,18.818,6.148,335.688,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,7,-86.008,135.264,53.743,146.306,81.521,CA,wetlands,57.0,high,high,0.925,0.603,18.487,4.215,326.336,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,8,-58.443,115.645,60.257,133.608,55.389,CA,wetlands,57.0,high,high,0.866,0.479,20.35,5.206,293.9,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2019,9,-32.19,83.495,54.308,96.352,29.187,CA,wetlands,57.0,high,high,0.867,0.35,19.597,6.053,243.569,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,4,-43.364,78.488,38.737,94.133,39.751,CA,wetlands,57.0,high,high,0.834,0.506,14.395,3.87,246.216,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,5,-67.753,111.244,38.583,136.483,72.661,CA,wetlands,57.0,high,high,0.815,0.653,17.293,5.857,309.546,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,6,-67.777,113.015,49.468,153.029,63.546,CA,wetlands,57.0,high,high,0.739,0.562,18.473,5.828,348.351,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,7,-82.846,118.835,37.285,136.027,81.55,CA,wetlands,57.0,high,high,0.874,0.686,18.077,4.509,330.218,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,8,-54.428,110.02,56.037,115.897,53.983,CA,wetlands,57.0,high,high,0.949,0.491,19.18,5.603,270.598,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2020,9,-26.088,79.262,64.216,71.597,15.046,CA,wetlands,57.0,high,high,1.107,0.19,19.216,5.794,200.427,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2021,4,-46.241,68.711,25.729,93.505,42.982,CA,wetlands,57.0,high,high,0.735,0.626,12.527,3.791,277.006,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2021,5,-67.314,101.473,35.38,125.897,66.093,CA,wetlands,57.0,high,high,0.806,0.651,15.404,4.167,331.278,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EDN,2021,6,-44.284,69.129,27.949,70.11,41.179,CA,wetlands,57.0,high,high,0.986,0.596,16.12,4.443,350.199,134.6,92.694,276.706,37.616,-122.114,"Mediterranean: mild with dry, hot summer","Mediterranean, mild dry, hot",no
US-EKH,2023,4,-25.121,62.678,39.909,44.243,22.768,CA,wetlands,31.0,high,high,1.417,0.363,11.717,3.889,287.569,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2023,5,-34.56,81.073,45.494,59.031,35.579,CA,wetlands,31.0,high,high,1.373,0.439,12.622,3.215,277.91,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2023,6,-39.677,63.52,28.064,54.107,35.456,CA,wetlands,31.0,high,high,1.174,0.558,13.812,3.708,310.122,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2023,7,-33.449,47.638,23.198,32.106,24.44,CA,wetlands,31.0,high,high,1.484,0.513,14.902,4.735,334.709,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2024,4,-17.036,113.753,130.773,54.602,-17.02,CA,wetlands,31.0,high,high,2.083,-0.15,12.406,3.494,268.421,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2024,5,-31.441,70.811,33.541,62.002,37.27,CA,wetlands,31.0,high,high,1.142,0.526,12.295,3.759,311.217,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2024,6,-35.612,48.041,13.851,56.838,34.19,CA,wetlands,31.0,high,high,0.845,0.712,13.321,4.462,336.525,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKH,2024,7,-3.65,16.628,8.495,27.808,8.133,CA,wetlands,31.0,high,high,0.598,0.489,14.332,5.238,343.105,81.3,97.326,198.885,36.809,-121.752,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKP,2022,7,-6.203,110.915,77.475,43.754,33.44,CA,wetlands,31.0,high,high,2.535,0.301,14.633,2.363,286.9,196.0,68.95,249.1,36.856,-121.749,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKP,2022,8,25.231,88.918,163.247,34.752,-74.329,CA,wetlands,31.0,high,high,2.559,-0.836,15.339,2.596,264.884,196.0,68.95,249.1,36.856,-121.749,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKP,2023,3,16.098,11.589,19.908,22.585,-8.32,CA,wetlands,31.0,high,high,0.513,-0.718,9.096,2.353,176.868,196.0,68.95,249.1,36.856,-121.749,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
US-EKP,2023,4,-0.483,108.724,107.732,83.753,0.992,CA,wetlands,31.0,high,high,1.298,0.009,10.133,3.326,266.687,196.0,68.95,249.1,36.856,-121.749,"Mediterranean: mild with dry, warm summer","Mediterranean, mild dry, warm",no
