"SPEI_timescale","water_class","SPEI_value","month_f","site_name","spei_ecosystem","predicted_WUE_T","predicted_se","predicted_lower","predicted_upper","predicted_near_normal_WUE_T","predicted_change","predicted_pct_change","predicted_lower_pct","predicted_upper_pct","impact_class_10pct"
"SPEI_12","Saline",-2.15924098386675,"7","US-A03","SPEI_12__Saline",3.79555853742531,0.789809835094643,2.24753126063981,5.34358581421081,3.79590600007587,-0.000347462650566399,-0.00915361577866928,-40.7906502269845,40.7723429954271,"No meaningful change"
"SPEI_24","Saline",-2.15924098386675,"7","US-A03","SPEI_24__Saline",3.77672849093328,0.792342616375956,2.22373696283641,5.32972001903016,3.79486170186332,-0.0181332109300376,-0.477835883218985,-41.4013701278092,40.4456983613712,"No meaningful change"
"SPEI_36","Saline",-2.15924098386675,"7","US-A03","SPEI_36__Saline",3.74578266399191,0.798410082750105,2.18089890180171,5.31066642618212,3.78973207975865,-0.043949415766741,-1.1596971723009,-42.4524252400292,40.1330308954274,"No meaningful change"
"SPEI_48","Saline",-2.15924098386675,"7","US-A03","SPEI_48__Saline",3.79490280121565,0.789900723271674,2.24669738360317,5.34310821882813,3.79598202691605,-0.00107922570039598,-0.0284307378892616,-40.8138034460494,40.7569419702709,"No meaningful change"
"SPEI_1","Upland",-2.12500157194304,"7","US-A03","SPEI_1__Upland",5.84366362546023,0.594181795204731,4.67906730685896,7.0082599440615,5.48919319302184,0.354470432438396,6.45760533422323,-14.7585602779067,27.6737709463531,"No meaningful change"
"SPEI_3","Upland",-2.12500157194304,"7","US-A03","SPEI_3__Upland",6.63845366242682,0.623664610782778,5.41607102529258,7.86083629956107,5.38809641457018,1.25035724785665,23.2059182251361,0.519192838620233,45.892643611652,"WUE increase"
"SPEI_6","Upland",-2.12500157194304,"7","US-A03","SPEI_6__Upland",6.17849216364449,0.603695449908129,4.99524908182456,7.36173524546442,5.44677574908028,0.731716414564207,13.4339368513154,-8.28979726826404,35.1576709708948,"WUE increase"
"SPEI_12","Upland",-2.12500157194304,"7","US-A03","SPEI_12__Upland",5.92983059192089,0.589681696952482,4.77405446589403,7.08560671794775,5.4960425846593,0.433788007261596,7.89273373667803,-13.1365088178265,28.9219762911826,"No meaningful change"
"SPEI_24","Upland",-2.12500157194304,"7","US-A03","SPEI_24__Upland",6.11651466668748,0.589967964748374,4.96017745578067,7.2728518775943,5.49325156310849,0.623263103578998,11.3459778132991,-9.7041633940056,32.3961190206039,"WUE increase"
"SPEI_36","Upland",-2.12500157194304,"7","US-A03","SPEI_36__Upland",5.98434653046984,0.58986692555278,4.82820735638639,7.14048570455329,5.50528577568923,0.479060754780613,8.7018326441126,-12.2986970502557,29.7023623384809,"No meaningful change"
"SPEI_48","Upland",-2.12500157194304,"7","US-A03","SPEI_48__Upland",5.8365191252723,0.589869991029436,4.68037394285461,6.99266430769,5.50702674358798,0.329492381684324,5.98312659490829,-15.0108731848065,26.9771263746231,"No meaningful change"
"SPEI_1","Freshwater",-2.12500157194304,"7","US-A03","SPEI_1__Freshwater",4.22018181936043,0.684658256498429,2.87825163662351,5.56211200209735,4.21954140936123,0.000640409999205005,0.0151772417207289,-31.7875722172559,31.8179267006973,"No meaningful change"
"SPEI_3","Freshwater",-2.12500157194304,"7","US-A03","SPEI_3__Freshwater",4.21921234911791,0.684611321902115,2.87737415818977,5.56105054004606,4.21951351065009,-0.000301161532176408,-0.00713735200553983,-31.8079169333799,31.7936422293688,"No meaningful change"
"SPEI_6","Freshwater",-2.12500157194304,"7","US-A03","SPEI_6__Freshwater",4.2201319983681,0.684661326506616,2.87819579841514,5.56206819832107,4.21959154835205,0.000540450016056404,0.0128081121090376,-31.7897060548619,31.8153222790799,"No meaningful change"
"SPEI_12","Freshwater",-2.12500157194304,"7","US-A03","SPEI_12__Freshwater",4.21995196214952,0.684595240650392,2.87814529047475,5.56175863382428,4.21957016391976,0.000381798229755148,0.00904827304496052,-31.790557363286,31.8086539093759,"No meaningful change"
"SPEI_24","Freshwater",-2.12500157194304,"7","US-A03","SPEI_24__Freshwater",4.22250746891255,0.685059091168775,2.87979165022175,5.56522328760335,4.22053295499704,0.00197451391550985,0.0467835208625028,-31.7671090137532,31.8606760554782,"No meaningful change"
"SPEI_36","Freshwater",-2.12500157194304,"7","US-A03","SPEI_36__Freshwater",4.22046195315948,0.684675554350007,2.87849786663346,5.56242603968549,4.21970971318329,0.000752239976192115,0.017826818130213,-31.7844576455008,31.8201112817612,"No meaningful change"
"SPEI_48","Freshwater",-2.12500157194304,"7","US-A03","SPEI_48__Freshwater",4.22010194665284,0.684690727741883,2.87810812027875,5.56209577302693,4.21964494790908,0.000456998743764814,0.0108302653281591,-31.7926471111055,31.8143076417618,"No meaningful change"
"SPEI_1","Saline",-2.12500157194304,"7","US-A03","SPEI_1__Saline",3.79732544140116,0.789924640797385,2.24907314543829,5.34557773736404,3.79571448215135,0.00161095924980925,0.0424415286604008,-40.7470410112737,40.8319240685945,"No meaningful change"
"SPEI_3","Saline",-2.12500157194304,"7","US-A03","SPEI_3__Saline",3.79669577535979,0.789831049399458,2.24862691853686,5.34476463218273,3.79581271083288,0.000883064526917998,0.0232641754003779,-40.7603301364291,40.8068584872298,"No meaningful change"
"SPEI_6","Saline",-2.12500157194304,"7","US-A03","SPEI_6__Saline",3.89945221623982,0.818595935100167,2.2950041834435,5.50390024903615,3.72785187663226,0.171600339607568,4.60319629873791,-38.4362828944587,47.6426754919345,"No meaningful change"
"SPEI_12","Saline",-2.12500157194304,"7","US-A03","SPEI_12__Saline",3.79556164026592,0.789806066003059,2.24754175089992,5.34358152963192,3.79590600007587,-0.000344359809953065,-0.00907187401232228,-40.7903738697692,40.7722301217445,"No meaningful change"
"SPEI_24","Saline",-2.12500157194304,"7","US-A03","SPEI_24__Saline",3.77695651863874,0.792266410273112,2.22411435450345,5.32979868277404,3.79486170186332,-0.0179051832245767,-0.471827029053128,-41.3914253209444,40.4477712628381,"No meaningful change"
"SPEI_36","Saline",-2.12500157194304,"7","US-A03","SPEI_36__Saline",3.74546993762965,0.79817811169203,2.18104083871327,5.30989903654603,3.78973207975865,-0.0442621421290075,-1.16794911084654,-42.4486799380244,40.1127817163313,"No meaningful change"
"SPEI_48","Saline",-2.12500157194304,"7","US-A03","SPEI_48__Saline",3.79491695770691,0.789894049250358,2.24672462117621,5.34310929423761,3.79598202691605,-0.00106506920913452,-0.0280578043200011,-40.8130859091157,40.7569703004757,"No meaningful change"
"SPEI_1","Upland",-2.09076216001933,"7","US-A03","SPEI_1__Upland",5.83862614969166,0.593180290272114,4.67599278075831,7.001259518625,5.48919319302184,0.349432956669824,6.36583454767163,-14.8145708060942,27.5462399014374,"No meaningful change"
"SPEI_3","Upland",-2.09076216001933,"7","US-A03","SPEI_3__Upland",6.62023674066964,0.620858768738822,5.40335355394155,7.83711992739773,5.38809641457018,1.23214032609946,22.8678225350159,0.283163815148439,45.4524812548834,"WUE increase"
"SPEI_6","Upland",-2.09076216001933,"7","US-A03","SPEI_6__Upland",6.16682391640925,0.601959340537367,4.98698360895601,7.34666422386249,5.44677574908028,0.720048167328969,13.2197138362187,-8.4415470969575,34.8809747693948,"WUE increase"
"SPEI_12","Upland",-2.09076216001933,"7","US-A03","SPEI_12__Upland",5.92284149785413,0.589039074184569,4.76832491245237,7.07735808325588,5.4960425846593,0.426798913194834,7.76556779938582,-13.2407575268457,28.7718931256173,"No meaningful change"
"SPEI_24","Upland",-2.09076216001933,"7","US-A03","SPEI_24__Upland",6.10646346279668,0.589316946146737,4.95140224834907,7.26152467724428,5.49325156310849,0.613211899688193,11.1630041450567,-9.86390862560085,32.1899169157143,"WUE increase"
"SPEI_36","Upland",-2.09076216001933,"7","US-A03","SPEI_36__Upland",5.97662691197657,0.589230758182323,4.82173462593921,7.13151919801392,5.50528577568923,0.47134113628734,8.56161070454751,-12.4162700648258,29.5394914739208,"No meaningful change"
"SPEI_48","Upland",-2.09076216001933,"7","US-A03","SPEI_48__Upland",5.83120854326801,0.589244775986087,4.67628878233528,6.98612830420075,5.50702674358798,0.324181799680037,5.88669376006741,-15.0850540578898,26.8584415780246,"No meaningful change"
"SPEI_1","Freshwater",-2.09076216001933,"7","US-A03","SPEI_1__Freshwater",4.22017809629888,0.68465338035821,2.87825747079679,5.56209872180098,4.21954140936123,0.00063668693765706,0.0150890079249974,-31.7874339516787,31.8176119675287,"No meaningful change"
"SPEI_3","Freshwater",-2.09076216001933,"7","US-A03","SPEI_3__Freshwater",4.21921872673571,0.684607919616176,2.877387204288,5.56105024918341,4.21951351065009,-0.000294783914385199,-0.00698620619749557,-31.8076077484893,31.7936353360943,"No meaningful change"
"SPEI_6","Freshwater",-2.09076216001933,"7","US-A03","SPEI_6__Freshwater",4.22012805577612,0.684656682068208,2.87820095892243,5.5620551526298,4.21959154835205,0.000536507424067523,0.012714676715026,-31.789583756122,31.815013109552,"No meaningful change"
"SPEI_12","Freshwater",-2.09076216001933,"7","US-A03","SPEI_12__Freshwater",4.21994862394938,0.684592499075443,2.87814732576151,5.56174992213724,4.21957016391976,0.000378460029613059,0.00896916071805497,-31.7905091288289,31.8084474502651,"No meaningful change"
"SPEI_24","Freshwater",-2.09076216001933,"7","US-A03","SPEI_24__Freshwater",4.22252291214376,0.685046464029108,2.87983184264671,5.56521398164081,4.22053295499704,0.00198995714672456,0.0471494279974402,-31.7661567068907,31.8604555628856,"No meaningful change"
"SPEI_36","Freshwater",-2.09076216001933,"7","US-A03","SPEI_36__Freshwater",4.22046006611014,0.68467105867558,2.878504791106,5.56241534111428,4.21970971318329,0.000750352926852216,0.0177820982450037,-31.7842935471857,31.8198577436757,"No meaningful change"
"SPEI_48","Freshwater",-2.09076216001933,"7","US-A03","SPEI_48__Freshwater",4.22010068502921,0.684685568330197,2.87811697110203,5.5620843989564,4.21964494790908,0.000455737120134359,0.0108003665180452,-31.7924373583092,31.8140380913453,"No meaningful change"
"SPEI_1","Saline",-2.09076216001933,"7","US-A03","SPEI_1__Saline",3.79729810056571,0.789917800693345,2.24905921120675,5.34553698992467,3.79571448215135,0.0015836184143585,0.041721220650425,-40.7474081155856,40.8308505568865,"No meaningful change"
"SPEI_3","Saline",-2.09076216001933,"7","US-A03","SPEI_3__Saline",3.79668040698913,0.789826783307128,2.24861991170716,5.34474090227111,3.79581271083288,0.000867696156257924,0.0228592984522552,-40.7605147300913,40.8062333269958,"No meaningful change"
"SPEI_6","Saline",-2.09076216001933,"7","US-A03","SPEI_6__Saline",3.89179536968623,0.817402255195771,2.28968694950252,5.49390378986994,3.72785187663226,0.163943493053971,4.39780062297103,-38.5789182275391,47.3745194734812,"No meaningful change"
"SPEI_12","Saline",-2.09076216001933,"7","US-A03","SPEI_12__Saline",3.79556478599662,0.78980236353264,2.24755215347265,5.3435774185206,3.79590600007587,-0.000341214079249141,-0.00898900234205803,-40.7900998226056,40.7721218179215,"No meaningful change"
"SPEI_24","Saline",-2.09076216001933,"7","US-A03","SPEI_24__Saline",3.77718547988079,0.792191454234271,2.22449022958162,5.32988073017996,3.79486170186332,-0.0176762219825308,-0.465793574871295,-41.3815204783518,40.4499333286092,"No meaningful change"
"SPEI_36","Saline",-2.09076216001933,"7","US-A03","SPEI_36__Saline",3.74517514748155,0.797951722913912,2.18118977057028,5.30916052439282,3.78973207975865,-0.0445569322771062,-1.17572776490162,-42.4447500597671,40.0932945299638,"No meaningful change"
"SPEI_48","Saline",-2.09076216001933,"7","US-A03","SPEI_48__Saline",3.79493120736609,0.78988749645408,2.2467517143161,5.34311070041609,3.79598202691605,-0.00105081954995478,-0.0276824163682486,-40.8123721770776,40.7570073443411,"No meaningful change"
"SPEI_1","Upland",-2.05652274809562,"7","US-A03","SPEI_1__Upland",5.83356782699918,0.592210215028614,4.6728358055431,6.99429984845527,5.48919319302184,0.344374633977348,6.27368397991778,-14.8720833603841,27.4194513202196,"No meaningful change"
"SPEI_3","Upland",-2.05652274809562,"7","US-A03","SPEI_3__Upland",6.6018970052713,0.618177174575582,5.39026974310316,7.81352426743944,5.38809641457018,1.21380059070112,22.5274474936795,0.0403357394850254,45.0145592478739,"WUE increase"
"SPEI_6","Upland",-2.05652274809562,"7","US-A03","SPEI_6__Upland",6.15511405452156,0.600294087896045,4.97853764224531,7.33169046679781,5.44677574908028,0.70833830544128,13.0047267975166,-8.59661069971593,34.6060642947492,"WUE increase"
"SPEI_12","Upland",-2.05652274809562,"7","US-A03","SPEI_12__Upland",5.91585221189529,0.588406439080521,4.76257559129747,7.06912883249312,5.4960425846593,0.419809627235999,7.63839837063459,-13.3453659076277,28.6221626488969,"No meaningful change"
"SPEI_24","Upland",-2.05652274809562,"7","US-A03","SPEI_24__Upland",6.09641222571779,0.588675935411606,4.94260739231105,7.25021705912454,5.49325156310849,0.603160662609308,10.9800298726533,-10.0240115434627,31.9840712887694,"WUE increase"
"SPEI_36","Upland",-2.05652274809562,"7","US-A03","SPEI_36__Upland",5.96890713324442,0.588604264113857,4.81524277558126,7.12257149090758,5.50528577568923,0.463621357555197,8.42138585434567,-12.5341903803636,29.3769620890549,"No meaningful change"
"SPEI_48","Upland",-2.05652274809562,"7","US-A03","SPEI_48__Upland",5.82589788358571,0.588628883852619,4.67218527123458,6.97961049593685,5.50702674358798,0.318871139997735,5.79025951470106,-15.1595681521873,26.7400871815894,"No meaningful change"
"SPEI_1","Freshwater",-2.05652274809562,"7","US-A03","SPEI_1__Freshwater",4.22017426787319,0.684648586702893,2.87826303793552,5.56208549781086,4.21954140936123,0.00063285851196504,0.0149982770772439,-31.7873020146223,31.8172985687768,"No meaningful change"
"SPEI_3","Freshwater",-2.05652274809562,"7","US-A03","SPEI_3__Freshwater",4.21922509024987,0.684604574290034,2.8774001246414,5.56105005585834,4.21951351065009,-0.000288420400220701,-0.00683539463714776,-31.8073015436775,31.7936307544032,"No meaningful change"
"SPEI_6","Freshwater",-2.05652274809562,"7","US-A03","SPEI_6__Freshwater",4.22012402071665,0.6846521119073,2.87820588137834,5.56204216005496,4.21959154835205,0.000532472364599634,0.0126190499364231,-31.7894670989561,31.814705198829,"No meaningful change"
"SPEI_12","Freshwater",-2.05652274809562,"7","US-A03","SPEI_12__Freshwater",4.21994523425642,0.684589800488066,2.87814922529981,5.56174124321303,4.21957016391976,0.000375070336655625,0.00888882805795565,-31.7904641114877,31.8082417676036,"No meaningful change"
"SPEI_24","Freshwater",-2.05652274809562,"7","US-A03","SPEI_24__Freshwater",4.22253757270998,0.685034058980788,2.87987081710764,5.56520432831233,4.22053295499704,0.00200461771294069,0.047496790910429,-31.7652332580908,31.8602268399117,"No meaningful change"
"SPEI_36","Freshwater",-2.05652274809562,"7","US-A03","SPEI_36__Freshwater",4.22045799997585,0.68466663584034,2.87851139372878,5.56240460622291,4.21970971318329,0.000748286792561004,0.0177331343486305,-31.7841370761669,31.8196033448642,"No meaningful change"
"SPEI_48","Freshwater",-2.05652274809562,"7","US-A03","SPEI_48__Freshwater",4.2200993488483,0.684680491988663,2.87812558455052,5.56207311314608,4.21964494790908,0.000454400939223554,0.0107687007990736,-31.7922332309809,31.813770632579,"No meaningful change"
"SPEI_1","Saline",-2.05652274809562,"7","US-A03","SPEI_1__Saline",3.7972706390463,0.789911092265899,2.24904489820514,5.34549637988746,3.79571448215135,0.00155615689494404,0.0409977331609524,-40.7477851987853,40.8297806651072,"No meaningful change"
"SPEI_3","Saline",-2.05652274809562,"7","US-A03","SPEI_3__Saline",3.79666497097289,0.789822595729414,2.24861268334323,5.34471725860254,3.79581271083288,0.000852260140009165,0.0224526393933214,-40.760705160033,40.8056104388196,"No meaningful change"
"SPEI_6","Saline",-2.05652274809562,"7","US-A03","SPEI_6__Saline",3.88418787985551,0.816255404302723,2.28432728742218,5.48404847228885,3.72785187663226,0.156336003223258,4.19372894623946,-38.7226916997078,47.1101495921867,"No meaningful change"
"SPEI_12","Saline",-2.05652274809562,"7","US-A03","SPEI_12__Saline",3.79556797856454,0.789798725128676,2.24756247731234,5.34357347981675,3.79590600007587,-0.00033802151133111,-0.00890489678417626,-40.7898278495987,40.7720180560304,"No meaningful change"
"SPEI_24","Saline",-2.05652274809562,"7","US-A03","SPEI_24__Saline",3.77741546272468,0.792117726452437,2.22486471887791,5.32996620657146,3.79486170186332,-0.0174462391386361,-0.459733200028601,-41.3716521530818,40.4521857530246,"No meaningful change"
"SPEI_36","Saline",-2.05652274809562,"7","US-A03","SPEI_36__Saline",3.74489993614424,0.797730604347726,2.1813479516227,5.30845192066579,3.78973207975865,-0.0448321436144119,-1.18298979112178,-42.4405761221617,40.0745965399182,"No meaningful change"
"SPEI_48","Saline",-2.05652274809562,"7","US-A03","SPEI_48__Saline",3.79494555826126,0.789881061262075,2.24677867818759,5.34311243833492,3.79598202691605,-0.00103646865478968,-0.0273043614917148,-40.81166185044,40.7570531274566,"No meaningful change"
"SPEI_1","Upland",-2.02228333617191,"7","US-A03","SPEI_1__Upland",5.82848690074251,0.591271025539579,4.66959569068493,6.98737811080008,5.48919319302184,0.339293707720672,6.18112162916767,-14.9311105205556,27.2933537788909,"No meaningful change"
"SPEI_3","Upland",-2.02228333617191,"7","US-A03","SPEI_3__Upland",6.583424345296,0.615616287768732,5.37681642126929,7.79003226932272,5.38809641457018,1.19532793072583,22.1846054479183,-0.209350249753994,44.5785611455905,"WUE increase"
"SPEI_6","Upland",-2.02228333617191,"7","US-A03","SPEI_6__Upland",6.14335946591688,0.598698415752281,4.96991057104241,7.31680836079135,5.44677574908028,0.696583716836595,12.7889185993056,-8.75499928776024,34.3328364863714,"WUE increase"
"SPEI_12","Upland",-2.02228333617191,"7","US-A03","SPEI_12__Upland",5.90886271851628,0.587783818182981,4.75680643487764,7.06091900215493,5.4960425846593,0.412820133856989,7.51122516789197,-13.4503351892693,28.4727855250532,"No meaningful change"
"SPEI_24","Upland",-2.02228333617191,"7","US-A03","SPEI_24__Upland",6.08636095267234,0.588044963567479,4.93379282408008,7.2389290812646,5.49325156310849,0.593109389563857,10.797054945509,-10.1844733051297,31.7785831961477,"WUE increase"
"SPEI_36","Upland",-2.02228333617191,"7","US-A03","SPEI_36__Upland",5.9611871807971,0.587987469652164,4.80873174027886,7.11364262131534,5.50528577568923,0.455901405107872,8.28115784871852,-12.6524591781644,29.2147748756014,"No meaningful change"
"SPEI_48","Upland",-2.02228333617191,"7","US-A03","SPEI_48__Upland",5.82058713948087,0.588022339579948,4.66806335390417,6.97311092505757,5.50702674358798,0.313560395892894,5.69382373633801,-15.2344164781956,26.6220639508716,"No meaningful change"
"SPEI_1","Freshwater",-2.02228333617191,"7","US-A03","SPEI_1__Freshwater",4.22017032468034,0.684643872346835,2.87826833488054,5.56207231448013,4.21954140936123,0.000628915319111911,0.0149048263329431,-31.7871764809563,31.8169861336222,"No meaningful change"
"SPEI_3","Freshwater",-2.02228333617191,"7","US-A03","SPEI_3__Freshwater",4.21923143831656,0.684601283377899,2.87741292289587,5.56104995373724,4.21951351065009,-0.000282072333535055,-0.00668494917300541,-31.8069982325389,31.7936283341929,"No meaningful change"
"SPEI_6","Freshwater",-2.02228333617191,"7","US-A03","SPEI_6__Freshwater",4.22011988540176,0.684647613086526,2.87821056375217,5.56202920705135,4.21959154835205,0.000528337049709116,0.0125210472069378,-31.7893561314899,31.8143982259038,"No meaningful change"
"SPEI_12","Freshwater",-2.02228333617191,"7","US-A03","SPEI_12__Freshwater",4.21994178860564,0.684587142935143,2.87815098845276,5.56173258875851,4.21957016391976,0.000371624685873151,0.00880716924796745,-31.790422326356,31.808036664852,"No meaningful change"
"SPEI_24","Freshwater",-2.02228333617191,"7","US-A03","SPEI_24__Freshwater",4.22255138212364,0.685021859838651,2.87990853683988,5.5651942274074,4.22053295499704,0.0020184271265995,0.047823986878475,-31.7643395384434,31.8599875122003,"No meaningful change"
"SPEI_36","Freshwater",-2.02228333617191,"7","US-A03","SPEI_36__Freshwater",4.22045573912812,0.684662281523652,2.87851766734176,5.56239381091448,4.21970971318329,0.000746025944835083,0.0176795560724079,-31.7839884021251,31.8193475142699,"No meaningful change"
"SPEI_48","Freshwater",-2.02228333617191,"7","US-A03","SPEI_48__Freshwater",4.22009793092845,0.684675494839805,2.87813396104243,5.56206190081446,4.21964494790908,0.000452983019367359,0.0107350979752887,-31.7920347192101,31.8135049151607,"No meaningful change"
"SPEI_1","Saline",-2.02228333617191,"7","US-A03","SPEI_1__Saline",3.79724304796609,0.789904507921623,2.24903021243971,5.34545588349247,3.79571448215135,0.00152856581473682,0.0402708323274739,-40.7481721026342,40.8287137672892,"No meaningful change"
"SPEI_3","Saline",-2.02228333617191,"7","US-A03","SPEI_3__Saline",3.79664946248941,0.789818482500911,2.24860523678762,5.3446936881912,3.79581271083288,0.00083675165653263,0.0220440711983661,-40.760901338195,40.8049894805917,"No meaningful change"
"SPEI_6","Saline",-2.02228333617191,"7","US-A03","SPEI_6__Saline",3.8766344978701,0.815153873795893,2.27893290523015,5.47433609051005,3.72785187663226,0.148782621237843,3.99110871787785,-38.8673965423503,46.849613978106,"No meaningful change"
"SPEI_12","Saline",-2.02228333617191,"7","US-A03","SPEI_12__Saline",3.79557122199494,0.789795148184906,2.24757273155253,5.34356971243736,3.79590600007587,-0.000334778080930853,-0.00881945129632192,-40.7895577101329,40.7719188075403,"No meaningful change"
"SPEI_24","Saline",-2.02228333617191,"7","US-A03","SPEI_24__Saline",3.7776465573501,0.792045204566294,2.22523795640017,5.33005515830004,3.79486170186332,-0.0172151445132189,-0.453643528162465,-41.3618168138367,40.4545297575118,"No meaningful change"
"SPEI_36","Saline",-2.02228333617191,"7","US-A03","SPEI_36__Saline",3.74464598005772,0.797514435119024,2.18151768722443,5.307774272891,3.78973207975865,-0.045086099700939,-1.18969095313488,-42.4360972936283,40.0567153873585,"No meaningful change"
"SPEI_48","Saline",-2.02228333617191,"7","US-A03","SPEI_48__Saline",3.7949600185689,0.78987473997942,2.24680552820924,5.34311450892856,3.79598202691605,-0.00102200834714727,-0.0269234242918052,-40.8109545230223,40.7571076744387,"No meaningful change"
"SPEI_1","Upland",-1.9880439242482,"7","US-A03","SPEI_1__Upland",5.82338158816666,0.590362122440766,4.66627182818276,6.98049134815056,5.48919319302184,0.334188395144825,6.08811501788028,-14.9916633629368,27.1678933986974,"No meaningful change"
"SPEI_3","Upland",-1.9880439242482,"7","US-A03","SPEI_3__Upland",6.56480854380845,0.613172213627512,5.36299100509853,7.76662608251838,5.38809641457018,1.17671212923827,21.8391067772335,-0.465942097913515,44.1441556523806,"WUE increase"
"SPEI_6","Upland",-1.9880439242482,"7","US-A03","SPEI_6__Upland",6.13155705703063,0.597170868162787,4.96110215543157,7.30201195862969,5.44677574908028,0.684781307950347,12.572232445332,-8.91671726581956,34.0611821564836,"WUE increase"
"SPEI_12","Upland",-1.9880439242482,"7","US-A03","SPEI_12__Upland",5.90187300203706,0.587171237139904,4.75101737724285,7.05272862683128,5.4960425846593,0.40583041737777,7.38404790586111,-13.5556665717252,28.3237623834474,"No meaningful change"
"SPEI_24","Upland",-1.9880439242482,"7","US-A03","SPEI_24__Upland",6.07630964084336,0.587424061099556,4.92495848108823,7.22766080059849,5.49325156310849,0.583058077734878,10.6140793123434,-10.3452950495984,31.5734536742853,"WUE increase"
