"difference_type","difference_label","tet_level","Trans_ratio","month","contrast","estimate","std_error","lower_95","upper_95","z_value","p_value","signif"
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Saline",-0.409116859092492,0.459387308977559,-1.30951598468851,0.491282266503525,-0.890570660306327,0.373159545098259,""
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Low T:ET (25th percentile)",0.437532435175135,7,"Freshwater - Saline",-0.114565032245779,0.476007669528857,-1.04754006452234,0.818410000030781,-0.240678962923377,0.809803944907238,""
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Median T:ET",0.589708277051892,7,"Upland - Freshwater",-1.03206903832082,0.395358499133593,-1.80697169662266,-0.257166380018975,-2.61046377043251,0.00904195489308121,"**"
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Median T:ET",0.589708277051892,7,"Upland - Saline",-1.39278044546905,0.432550631499631,-2.24057968320833,-0.544981207729777,-3.21992466093589,0.00128224290028851,"**"
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Median T:ET",0.589708277051892,7,"Freshwater - Saline",-0.360711407148238,0.457046406766277,-1.25652236441014,0.535099550113666,-0.789222717448684,0.429981846566884,""
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Freshwater",-1.07567888401777,0.405956513725901,-1.87135365092053,-0.280004117115003,-2.64973919040023,0.00805539288818588,"**"
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Saline",-2.12072028579387,0.442072702472236,-2.98718278263945,-1.25425778894829,-4.79722062442219,1.60882369020438e-06,"***"
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","High T:ET (75th percentile)",0.685254039309931,7,"Freshwater - Saline",-1.0450414017761,0.478425203990893,-1.98275480159825,-0.107328001953949,-2.18433601126916,0.0289375664505625,"*"
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Freshwater",-0.257666808470668,0.431448634328537,-1.1033061317546,0.587972514813265,-0.597213174336905,0.550365064481513,""
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Upland - Saline",-0.53668090265099,0.433518076307968,-1.38637633221461,0.313014526912628,-1.23796660850131,0.215728442391383,""
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Low T:ET (25th percentile)",0.437532435175135,7,"Freshwater - Saline",-0.279014094180321,0.447766462329317,-1.15663636034578,0.59860817198514,-0.623124145405771,0.533202943892115,""
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Median T:ET",0.589708277051892,7,"Upland - Freshwater",1.18059676348083,0.396025899174919,0.404386001097988,1.95680752586367,2.98110998785808,0.0028720562009501,"**"
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Median T:ET",0.589708277051892,7,"Upland - Saline",0.594045215050189,0.414985374587047,-0.219326119140424,1.4074165492408,1.43148470145803,0.152291348434584,""
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Median T:ET",0.589708277051892,7,"Freshwater - Saline",-0.586551548430639,0.438895607839622,-1.4467869397963,0.27368384293502,-1.33642610669499,0.18141003794097,""
"WUE_E_minus_WUE_T","WUE_E - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Freshwater",1.35702796374006,0.405871262992458,0.561520288274845,2.15253563920528,3.34349358398719,0.000827306070689399,"***"
"WUE_E_minus_WUE_T","WUE_E - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Upland - Saline",1.59618994016215,0.439202119764625,0.735353785423489,2.45702609490082,3.6342947092732,0.000278742100223729,"***"
"WUE_E_minus_WUE_T","WUE_E - WUE_T","High T:ET (75th percentile)",0.685254039309931,7,"Freshwater - Saline",0.239161976422094,0.474625602216896,-0.691104203923022,1.16942815676721,0.503896071566744,0.614334411295037,""
